"tr_n";"k";"p";"o";"s";"tr_type";"tr_cap"
"319/320";6;10;0;0;"pass";756
"329/330";6;10;0;0;"pass";756
"359/360";6;10;0;0;"pass";756
"332/332";7;11;0;0;"pass";846
"334/334";7;11;0;0;"pass";846
"335/336";6;10;0;0;"pass";756
"346/346";7;11;0;1;"pass";864
"346/346";5;8;0;1;"pass";630
"461/462";10;10;0;1;"pass";918
"353/354л";8;11;0;0;"pass";882
"353/354з";10;9;0;0;"pass";846
"490/490";10;9;0;1;"pass";864
"369/369";7;9;0;0;"pass";738
"373/373";9;11;0;0;"pass";918
"379/379";9;7;0;0;"pass";702
"384/383";3;14;0;0;"pass";864
"393/393з";7;11;0;0;"pass";846
"395/395";6;10;0;0;"pass";756
"406/406";7;9;0;0;"pass";738
"465/466";8;7;0;1;"pass";684
"409/410";8;8;0;1;"pass";738
"421/422";7;10;0;0;"pass";792
"439/439";8;5;3;0;"pass";801
"441/441";10;6;1;0;"pass";765
"453/454";8;8;0;0;"pass";720
"455/456";7;8;0;0;"pass";684
"477/478";12;8;0;1;"pass";882
"487/488";9;5;0;0;"pass";594
"493/493";8;7;0;0;"pass";666
"547/547";10;6;0;0;"pass";684
"651/652";9;3;0;0;"pass";486
"625/625";4;7;0;0;"pass";522
"33";16;0;0;2;"rapid";612
"43";16;0;0;2;"rapid";612
"6/5";14;0;0;1;"rapid";522
"5/6";13;0;0;1;"rapid";486
"8/7";13;6;0;1;"rapid";810
"20/19";11;0;0;2;"rapid";432
"43/44";9;8;0;0;"rapid";756
"43/44";7;9;0;0;"rapid";738
"64/63";8;7;0;1;"rapid";684
